variable,data,correlation_true,correlation_pred,mutual_info,unpriv_prob_pos,priv_prob_pos,unbalance,statistical_parity,equal_opportunity,average_odds,instance_num,log_inst_num,class_num,feat_num,log_feat_num,inst_missing_vals,perc_inst_missing_val,feat_missing_val,perc_feat_missing_val,missing_vals,perc_miss_vals,numeric_features,cat_features,ratio_num_cat,ratio_cat_num,dataset_ratio,log_dataset_ratio,inverse_ratio,log_inverse_ratio,class_prob_min,class_prob_max,class_prob_mean,class_prob_std,symbols,symbols_min,symbols_max,symbols_mean,symbols_std,symbols_sum,kurtosis_min,kurtosis_max,kurtosis_mean,kurtosis_std,kurtosis_var,skew_min,skew_max,skew_mean,skew_std,skew_var,class_entropy,unpriv_prob_neg,priv_prob_neg,pos_prob,neg_prob
race,adult,0.0845306038418412,0.1261118117852134,0.0040360974592456,0.1292517006802721,0.2525,0.5367849153084052,0.0,0.0,1.0,3094,8.037220031133012,2,103,4.634728988229636,0,0,0,0,0,0,103,0,1.0,0.0,0.0332902391725921,-3.4024910429033755,30.038834951456312,3.402491042903376,0.2407886231415643,0.7592113768584356,0.5,0.2592113768584356,2,0,0,0.0,0.0,0,-1.9585192951024752,3093.9999999999995,328.4980587034663,716.8303066128841,5.639858197196586,-3.085847847200726,55.62373594069352,10.981505447738485,14.472035956249083,-2.763369852206404,6.61338421837956,0.8707482993197279,0.7475,-0.1232482993197278,0.1232482993197278
sex,adult,0.2300646010734255,0.1908061420152609,0.029481677713473,0.1017441860465116,0.3103782735208535,0.4225456531918214,0.0,0.0,0.0,3094,8.037220031133012,2,103,4.634728988229636,0,0,0,0,0,0,103,0,1.0,0.0,0.0332902391725921,-3.4024910429033755,30.038834951456312,3.402491042903376,0.2407886231415643,0.7592113768584356,0.5,0.2592113768584356,2,0,0,0.0,0.0,0,-1.9585192951024752,3093.9999999999995,328.4980587034663,716.8303066128841,-1.501940492199525,-3.085847847200726,55.62373594069352,10.981505447738485,14.472035956249083,-0.7064211201277086,6.61338421837956,0.8982558139534884,0.6896217264791464,-0.2086340874743419,0.2086340874743419
 10th,adult,-0.0796271589278562,-0.0857695998269817,0.004225409088769,0.2469135802469135,0.0515463917525773,1.0254370701797997,0.0,0.0,1.0,3094,8.037220031133012,2,103,4.634728988229636,0,0,0,0,0,0,103,0,1.0,0.0,0.0332902391725921,-3.4024910429033755,30.038834951456312,3.402491042903376,0.2407886231415643,0.7592113768584356,0.5,0.2592113768584356,2,0,0,0.0,0.0,0,-1.9585192951024752,3093.9999999999995,328.4980587034663,716.8303066128841,26.97478389355473,-3.085847847200726,55.62373594069352,10.981505447738485,14.472035956249083,5.381203162193258,6.61338421837956,0.7530864197530864,0.9484536082474226,0.1953671884943362,-0.1953671884943362
 11th,adult,-0.0912517944866108,-0.0940930477804696,0.0056771158532356,0.2484889187374076,0.043103448275862,1.031979482649046,0.0,0.0,1.0,3094,8.037220031133012,2,103,4.634728988229636,0,0,0,0,0,0,103,0,1.0,0.0,0.0332902391725921,-3.4024910429033755,30.038834951456312,3.402491042903376,0.2407886231415643,0.7592113768584356,0.5,0.2592113768584356,2,0,0,0.0,0.0,0,-1.9585192951024752,3093.9999999999995,328.4980587034663,716.8303066128841,21.748434966906025,-3.085847847200726,55.62373594069352,10.981505447738485,14.472035956249083,4.871794014905299,6.61338421837956,0.7515110812625924,0.956896551724138,0.2053854704615456,-0.2053854704615456
 12th,adult,-0.051402663028293,-0.0456060729339538,0.0017122127587705,0.2435182146373482,0.0638297872340425,1.0113360484402083,0.0,0.0,1.0,3094,8.037220031133012,2,103,4.634728988229636,0,0,0,0,0,0,103,0,1.0,0.0,0.0332902391725921,-3.4024910429033755,30.038834951456312,3.402491042903376,0.2407886231415643,0.7592113768584356,0.5,0.2592113768584356,2,0,0,0.0,0.0,0,-1.9585192951024752,3093.9999999999995,328.4980587034663,716.8303066128841,60.94559627217747,-3.085847847200726,55.62373594069352,10.981505447738485,14.472035956249083,7.931342931187308,6.61338421837956,0.7564817853626518,0.9361702127659576,0.1796884274033057,-0.1796884274033057
 1st-4th,adult,-0.028673694950313,-0.0242738084652959,0.0007133442654388,0.2414128321451717,0.0,1.002592352559948,0.0,0.0,1.0,3094,8.037220031133012,2,103,4.634728988229636,0,0,0,0,0,0,103,0,1.0,0.0,0.0332902391725921,-3.4024910429033755,30.038834951456312,3.402491042903376,0.2407886231415643,0.7592113768584356,0.5,0.2592113768584356,2,0,0,0.0,0.0,0,-1.9585192951024752,3093.9999999999995,328.4980587034663,716.8303066128841,382.37217672528783,-3.085847847200726,55.62373594069352,10.981505447738485,14.472035956249083,19.599107300357176,6.61338421837956,0.7585871678548283,1.0,0.2414128321451717,-0.2414128321451717
 5th-6th,adult,-0.0270004546527512,-0.0438884137480592,0.0004261781426234,0.241851368970013,0.1153846153846153,1.0044136048231145,0.0,0.0,1.0,3094,8.037220031133012,2,103,4.634728988229636,0,0,0,0,0,0,103,0,1.0,0.0,0.0332902391725921,-3.4024910429033755,30.038834951456312,3.402491042903376,0.2407886231415643,0.7592113768584356,0.5,0.2592113768584356,2,0,0,0.0,0.0,0,-1.9585192951024752,3093.9999999999995,328.4980587034663,716.8303066128841,114.19487215945333,-3.085847847200726,55.62373594069352,10.981505447738485,14.472035956249083,10.775948013022354,6.61338421837956,0.758148631029987,0.8846153846153847,0.1264667535853977,-0.1264667535853977
 7th-8th,adult,-0.0500986880387516,-0.0725352337175506,0.0015040554907051,0.244047619047619,0.1,1.0135346756152126,0.0,0.0,1.0,3094,8.037220031133012,2,103,4.634728988229636,0,0,0,0,0,0,103,0,1.0,0.0,0.0332902391725921,-3.4024910429033755,30.038834951456312,3.402491042903376,0.2407886231415643,0.7592113768584356,0.5,0.2592113768584356,2,0,0,0.0,0.0,0,-1.9585192951024752,3093.9999999999995,328.4980587034663,716.8303066128841,39.28854955135968,-3.085847847200726,55.62373594069352,10.981505447738485,14.472035956249083,6.423640195246879,6.61338421837956,0.7559523809523809,0.9,0.144047619047619,-0.1440476190476191
 9th,adult,-0.0544308164154721,-0.0687334581186525,0.0018504072416332,0.2441438469152095,0.0793650793650793,1.0139343118867896,0.0,0.0,1.0,3094,8.037220031133012,2,103,4.634728988229636,0,0,0,0,0,0,103,0,1.0,0.0,0.0332902391725921,-3.4024910429033755,30.038834951456312,3.402491042903376,0.2407886231415643,0.7592113768584356,0.5,0.2592113768584356,2,0,0,0.0,0.0,0,-1.9585192951024752,3093.9999999999995,328.4980587034663,716.8303066128841,44.20523966306676,-3.085847847200726,55.62373594069352,10.981505447738485,14.472035956249083,6.795341438038589,6.61338421837956,0.7558561530847905,0.9206349206349208,0.1647787675501301,-0.1647787675501302
 Assoc-acdm,adult,0.0070831340457777,-0.0156378160077197,2.4677157440061714e-05,0.2402920677066047,0.2592592592592592,0.9979377952808524,0.0,0.0,0.0,3094,8.037220031133012,2,103,4.634728988229636,0,0,0,0,0,0,103,0,1.0,0.0,0.0332902391725921,-3.4024910429033755,30.038834951456312,3.402491042903376,0.2407886231415643,0.7592113768584356,0.5,0.2592113768584356,2,0,0,0.0,0.0,0,-1.9585192951024752,3093.9999999999995,328.4980587034663,716.8303066128841,33.28011034060008,-3.085847847200726,55.62373594069352,10.981505447738485,14.472035956249083,5.937895088136934,6.61338421837956,0.7597079322933953,0.7407407407407408,-0.0189671915526545,0.0189671915526544
