,variable,importance,correlation,unbalance,statistical_parity,equalized_odds
0,sex,0.04797406807131279,-0.19401841519594723,1.1228043956043958,0.23878632478632478,-0.46411622524310536
1,race,0.0011345218800648427,-0.1597981124779736,1.1464139725009288,0.1640846243544894,-0.26514769308984604
2,c_charge_degree=F,0.0764991896272285,0.249817788296072,0.5677867789226363,-0.2505184911977076,0.4168448120953
3,c_charge_degree=M,0.02025931928687199,-0.249817788296072,1.247214950654441,0.2505184911977076,-0.4168448120953
4,c_charge_desc=Agg Abuse Elderlly/Disabled Adult,0.0,-0.02176483761054352,1.0008110300081103,0.36901865369018655,-0.7669481853458114
5,c_charge_desc=Agg Assault W/int Com Fel Dome,0.0,0.05271966894479888,0.9972206365063507,-0.6323051948051948,0.23568407818036352
6,c_charge_desc=Agg Battery Grt/Bod/Harm,0.0012965964343598202,-0.05772496897015855,1.0057049714751425,0.37082314588427057,-0.7708751031961316
7,c_charge_desc=Agg Fleeing and Eluding,0.0006482982171799101,-0.030792617933098187,1.0016233766233766,0.3693181818181818,-0.7685431212181661
8,c_charge_desc=Agg Fleeing/Eluding High Speed,0.00016207455429497752,-0.021764837610543538,1.0008110300081103,0.36901865369018655,-0.7669481853458114
9,c_charge_desc=Aggrav Battery w/Deadly Weapon,0.0040518638573744156,-0.0724803169081215,1.008994276369583,0.3720359771054783,-0.7735156195194076
10,c_charge_desc=Aggrav Child Abuse-Agg Battery,0.0,0.010963525505850311,0.9994220065648636,-0.1314935064935065,0.2338789445135765
11,c_charge_desc=Aggrav Stalking After Injunctn,0.00032414910858995504,0.03048677120064757,0.9980307263816606,-0.2986731654481451,0.23471909334441088
12,c_charge_desc=Aggravated Assault,0.00016207455429497752,-0.030792617933098176,1.0016233766233766,0.3693181818181818,-0.7672876900217167
13,c_charge_desc=Aggravated Assault W/Dead Weap,0.00972447325769854,0.09916175849507078,0.9856070098892085,-0.43658736669401155,0.995325911216728
14,c_charge_desc=Aggravated Assault W/dead Weap,0.0019448946515397303,-0.043582727861399,1.0032520325203254,0.3699186991869919,-0.7698535533590931
15,c_charge_desc=Aggravated Assault w/Firearm,0.00016207455429497752,-0.03772841585574253,1.0024370430544274,0.3696181965881397,-0.7676282051282051
16,c_charge_desc=Aggravated Battery,0.00032414910858995504,-0.030792617933098173,1.0016233766233766,0.3693181818181818,-0.7679131701817641
17,c_charge_desc=Aggravated Battery / Pregnant,0.00032414910858995504,0.009848218952670577,0.9987230445495585,-0.048417894162575026,0.10763758347510688
18,c_charge_desc=Aggravated Battery On 65/Older,0.0,-0.02176483761054351,1.0008110300081103,0.36901865369018655,-0.7669481853458114
19,c_charge_desc=Assault,0.0004862236628849326,-0.03535994174592754,1.003494630878494,0.22715100710210734,-0.4357432087117191
20,c_charge_desc=Att Burgl Struc/Conv Dwel/Occp,0.0,-0.021764837610543535,1.0008110300081103,0.36901865369018655,-0.7669481853458114
21,c_charge_desc=Att Burgl Unoccupied Dwel,0.0,0.010963525505850414,0.9994220065648636,-0.1314935064935065,-0.2658018059206766
22,c_charge_desc=Attempted Burg/Convey/Unocc,0.00016207455429497752,0.037263315381567984,0.9986114453267737,-0.6317923763179238,0.23421744324970134
23,c_charge_desc=Attempted Robbery  No Weapon,0.0,0.037263315381567914,0.9986114453267737,-0.6317923763179238,0.23421744324970134
