File,Unbalance,Noise
adult.csv,0.5149321266968325,0.1542332824647455
bank.csv,0.6872212017843086,0.4903432407248039
resyduo_full.csv,0.599515665203572,0.450589399384167
wine_proc.csv,0.2702892673695593,0.7212691356397086
compas.csv,0.0890222150154045,0.2694242468605634
drug_proc.csv,0.1713527851458885,0.3427020080628564
student.csv,0.4108761329305136,0.0156511586923957
placement.csv,0.3767441860465117,0.1148959583833533
law_proc.csv,0.0329710677045087,0.3891936216258203
credit_card.csv,0.5576,0.4134638762156271
obesity_proc.csv,0.009228187919463,0.2776229403852118
ibm.csv,0.6775510204081632,0.3892113829537037
hearth.csv,0.4234006734006733,0.6992003399794596
park_proc.csv,0.0437446808510637,0.5703483579357705
german.csv,0.3999999999999999,0.2506591138165221
arrhythmia.csv,0.5038716814159292,0.4386663258680405
medical_data.csv,0.2771084337349396,0.3363970588235294
cmc_proc.csv,0.1608961303462321,0.3711914124334699
ricci.csv,0.6440677966101696,0.0
vaccine.csv,0.6057347670250897,0.3884793056786897
crime_proc.csv,0.0471414242728184,0.5023695082859712
health.csv,0.006608811390727,0.0078258366347795
diabetic.csv,0.5400624963150757,0.4662015386471647
us.csv,0.1318169984359014,0.6288701761818377
